code,name,industry,revenue_growth_pct,ni_growth_pct,roe_pct,候補ルール
43950,株式会社アクリート,情報・通信業,38.49,318.75,9.96,フェーズ1'のみ(自動判定)
147A0,株式会社ソラコム,情報・通信業,38.15,79.01,5.71,フェーズ1'のみ(自動判定)
45970,ソレイジア・ファーマ株式会社,医薬品,35.76,54.87,-60.25,フェーズ1'のみ(自動判定)
145A0,株式会社Ｌ　ｉｓ　Ｂ,情報・通信業,33.79,963.67,7.81,フェーズ1'のみ(自動判定)
248A0,株式会社キッズスター,情報・通信業,27.41,50.57,6.96,フェーズ1'のみ(自動判定)
298A0,ＧＶＡ　ＴＥＣＨ株式会社,情報・通信業,27.32,40.72,-70.08,フェーズ1'のみ(自動判定)
42400,クラスターテクノロジー株式会社,化学,27.04,24.65,7.37,フェーズ1'のみ(自動判定)
184A0,株式会社学びエイド,情報・通信業,26.27,43.68,-53.32,フェーズ1'のみ(自動判定)
40750,ブレインズテクノロジー株式会社,情報・通信業,25.01,174.84,8.35,フェーズ1'のみ(自動判定)
56180,ナイル株式会社,情報・通信業,23.15,78.31,-29.48,フェーズ1'のみ(自動判定)
39670,株式会社エルテス,情報・通信業,22.44,80.42,-8.99,フェーズ1'のみ(自動判定)
44380,株式会社Ｗｅｌｂｙ,情報・通信業,20.39,32.92,-94.3,フェーズ1'のみ(自動判定)
44160,株式会社Ｔｒｕｅ　Ｄａｔａ,情報・通信業,20.34,508.48,7.17,フェーズ1'のみ(自動判定)
41920,スパイダープラス株式会社,情報・通信業,20.22,97.75,-0.65,フェーズ1'のみ(自動判定)
65730,ＣＲＡＶＩＡ株式会社,サービス業,19.91,23.42,-67.19,フェーズ1'のみ(自動判定)
65210,株式会社オキサイド,その他製品,19.6,80.1,-10.65,フェーズ1'のみ(自動判定)
149A0,株式会社シンカ,情報・通信業,18.84,167.25,4.24,フェーズ1'のみ(自動判定)
73260,ＳＢＩインシュアランスグループ株式会社,保険業,18.49,44.87,6.36,フェーズ1'のみ(自動判定)
77070,プレシジョン・システム・サイエンス株式会社,精密機器,17.91,77.43,-6.4,フェーズ1'のみ(自動判定)
40680,ベイシス株式会社,情報・通信業,17.03,458.89,4.81,フェーズ1'のみ(自動判定)
39300,株式会社はてな,情報・通信業,14.67,270.17,8.59,フェーズ1'のみ(自動判定)
42560,株式会社サインド,サービス業,13.42,53.67,5.07,フェーズ1'のみ(自動判定)
48820,株式会社ペルセウスプロテオミクス,医薬品,12.57,20.63,-54.19,フェーズ1'のみ(自動判定)
70720,株式会社インティメート・マージャー,サービス業,12.3,168.3,9.71,フェーズ1'のみ(自動判定)
41660,かっこ株式会社,情報・通信業,11.64,46.01,-17.94,フェーズ1'のみ(自動判定)
35500,株式会社スタジオアタオ,小売業,11.64,121.4,5.96,フェーズ1'のみ(自動判定)
39870,エコモット株式会社,サービス業,11.56,49.33,-4.25,フェーズ1'のみ(自動判定)
30420,株式会社セキュアヴェイル,情報・通信業,11.38,146.95,8.57,フェーズ1'のみ(自動判定)
70460,ＴＤＳＥ株式会社,サービス業,11.35,27.83,7.62,フェーズ1'のみ(自動判定)
41680,株式会社ヤプリ,情報・通信業,9.89,22.99,35.75,フェーズ1'のみ(自動判定)
