code,name,date,high,prior_52w_high
421A0,株式会社ムービン・ストラテジック・キャリア,2026-07-13,4200.0,4120.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-07-14,4235.0,4200.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-07-15,4300.0,4235.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-08-28,4400.0,4300.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-08-31,4450.0,4400.0
42580,株式会社網屋,2026-07-06,5040.0,4400.0
42580,株式会社網屋,2026-08-13,5100.0,5040.0
431A0,ユーソナー株式会社,2025-10-21,2994.0,2850.0
431A0,ユーソナー株式会社,2025-10-23,3295.0,2994.0
431A0,ユーソナー株式会社,2025-10-24,3450.0,3295.0
431A0,ユーソナー株式会社,2025-11-17,3700.0,3450.0
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,2025-08-12,3000.0,2700.0
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,2025-08-21,3070.0,3000.0
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,2025-08-22,3135.0,3070.0
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,2025-08-25,3265.0,3135.0
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,2025-09-05,3470.0,3265.0
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,2025-09-08,3480.0,3470.0
43740,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,2025-09-10,3540.0,3480.0
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ,2025-12-23,438.0,413.0
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ,2025-12-24,462.0,438.0
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ,2025-12-25,467.0,462.0
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ,2026-03-04,485.0,467.0
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ,2026-03-05,520.0,485.0
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ,2026-03-11,531.0,520.0
43790,株式会社Ｐｈｏｔｏｓｙｎｔｈ,2026-03-26,538.0,531.0
44150,株式会社ブロードエンタープライズ,2025-09-11,1024.0,1013.0
44150,株式会社ブロードエンタープライズ,2025-09-12,1065.0,1024.0
44150,株式会社ブロードエンタープライズ,2025-09-17,1071.0,1065.0
44150,株式会社ブロードエンタープライズ,2025-09-18,1120.0,1071.0
44150,株式会社ブロードエンタープライズ,2025-10-07,1130.0,1120.0
44150,株式会社ブロードエンタープライズ,2025-10-08,1290.0,1130.0
44150,株式会社ブロードエンタープライズ,2025-10-09,1374.0,1290.0
44150,株式会社ブロードエンタープライズ,2026-02-10,1497.0,1374.0
44150,株式会社ブロードエンタープライズ,2026-02-12,1570.0,1497.0
44170,グローバルセキュリティエキスパート株式会社,2026-07-30,4590.0,4575.0
44170,グローバルセキュリティエキスパート株式会社,2026-07-31,4700.0,4590.0
44170,グローバルセキュリティエキスパート株式会社,2026-08-07,5000.0,4700.0
44170,グローバルセキュリティエキスパート株式会社,2026-08-28,5060.0,5000.0
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス,2025-08-15,1492.0,1394.0
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス,2026-07-03,1550.0,1492.0
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス,2026-07-07,1563.0,1550.0
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス,2026-07-10,1569.0,1563.0
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス,2026-07-13,1609.0,1569.0
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス,2026-07-14,1741.0,1609.0
44190,株式会社Ｆｉｎａｔｅｘｔホールディングス,2026-07-16,1748.0,1741.0
44310,株式会社スマレジ,2025-08-05,3630.0,3595.0
44310,株式会社スマレジ,2026-08-26,3500.0,3470.0
44310,株式会社スマレジ,2026-08-27,3730.0,3500.0
44310,株式会社スマレジ,2026-08-28,3770.0,3730.0
44310,株式会社スマレジ,2026-08-31,3825.0,3770.0
44370,ｇｏｏｄｄａｙｓホールディングス株式会社,2025-08-14,819.0,810.0
44370,ｇｏｏｄｄａｙｓホールディングス株式会社,2026-02-18,828.0,819.0
44370,ｇｏｏｄｄａｙｓホールディングス株式会社,2026-02-19,960.0,828.0
44370,ｇｏｏｄｄａｙｓホールディングス株式会社,2026-02-26,988.0,960.0
44370,ｇｏｏｄｄａｙｓホールディングス株式会社,2026-04-24,992.0,988.0
44370,ｇｏｏｄｄａｙｓホールディングス株式会社,2026-04-27,1050.0,992.0
44370,ｇｏｏｄｄａｙｓホールディングス株式会社,2026-04-28,1334.0,1050.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2025-12-10,1575.0,1470.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2025-12-23,1598.0,1575.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2025-12-24,1665.0,1598.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2025-12-26,1695.0,1665.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2025-12-29,1790.0,1695.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2025-12-30,1812.0,1790.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-01-05,1900.0,1812.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-08-18,1957.0,1900.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-08-20,2034.0,1957.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-08-24,2039.0,2034.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-08-27,2069.0,2039.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-08-28,2188.0,2069.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-09-01,2219.0,2188.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-09-04,2350.0,2219.0
446A0,ノースサンド株式会社(市場区分データ未整備・別途確認済み),2026-09-07,2354.0,2350.0
44820,株式会社ウィルズ,2025-09-02,751.0,735.0
44820,株式会社ウィルズ,2025-11-14,760.0,751.0
44820,株式会社ウィルズ,2025-11-25,774.0,760.0
44820,株式会社ウィルズ,2025-11-26,777.0,774.0
