code,name,seq,entry_date,entry_price,true_high_date,true_high_price,hold_days,worst_drawdown_pct,worst_drawdown_date,final_return_pct
55320,株式会社リアルゲイト,15,2025-08-15,3030.0,2025-08-18,3220.0,3,0.0,,6.27
55780,ＡＲアドバンストテクノロジ株式会社,1,2025-07-10,2122.0,2025-09-25,3425.0,77,0.0,,61.4
55780,ＡＲアドバンストテクノロジ株式会社,2,2025-07-11,2222.0,2025-09-25,3425.0,76,0.0,,54.14
55780,ＡＲアドバンストテクノロジ株式会社,4,2025-07-15,2573.0,2025-09-25,3425.0,72,-3.03,2025-07-23,33.11
55780,ＡＲアドバンストテクノロジ株式会社,5,2025-07-28,2759.0,2025-09-25,3425.0,59,-4.64,2025-08-29,24.14
55780,ＡＲアドバンストテクノロジ株式会社,9,2025-09-16,3030.0,2025-09-25,3425.0,9,-0.99,2025-09-19,13.04
55780,ＡＲアドバンストテクノロジ株式会社,11,2025-09-24,3235.0,2025-09-25,3425.0,1,0.0,,5.87
55920,株式会社くすりの窓口,4,2025-04-14,2135.0,2025-06-12,3170.0,59,-6.32,2025-05-14,48.48
55920,株式会社くすりの窓口,8,2025-05-14,2294.0,2025-06-12,3170.0,29,-1.79,2025-05-15,38.19
55920,株式会社くすりの窓口,9,2025-05-27,2520.0,2025-06-12,3170.0,16,0.0,,25.79
55920,株式会社くすりの窓口,10,2025-05-28,2588.0,2025-06-12,3170.0,15,-0.19,2025-05-29,22.49
55920,株式会社くすりの窓口,11,2025-05-29,2636.0,2025-06-12,3170.0,14,-1.82,2025-05-30,20.26
55920,株式会社くすりの窓口,12,2025-06-02,2695.0,2025-06-12,3170.0,10,-0.19,2025-06-06,17.63
55920,株式会社くすりの窓口,13,2025-06-03,2810.0,2025-06-12,3170.0,9,-4.27,2025-06-06,12.81
55920,株式会社くすりの窓口,14,2025-06-05,2765.0,2025-06-12,3170.0,7,-2.71,2025-06-06,14.65
55920,株式会社くすりの窓口,15,2025-06-10,3045.0,2025-06-12,3170.0,2,-1.15,2025-06-11,4.11
55920,株式会社くすりの窓口,16,2025-06-11,3105.0,2025-06-12,3170.0,1,-0.64,2025-06-12,2.09
56210,株式会社ヒューマンテクノロジーズ,2,2025-05-16,1930.0,2025-06-10,2197.0,25,-2.69,2025-05-23,13.83
56210,株式会社ヒューマンテクノロジーズ,4,2025-06-09,2131.0,2025-06-10,2197.0,1,-1.74,2025-06-10,3.1
58920,株式会社ｙｕｔｏｒｉ,1,2025-05-13,2998.0,2025-05-20,3590.0,7,-3.6,2025-05-15,19.75
58920,株式会社ｙｕｔｏｒｉ,3,2025-05-16,3090.0,2025-05-20,3590.0,4,0.0,,16.18
60720,地盤ネットホールディングス株式会社,8,2026-02-10,248.0,2026-02-13,648.0,3,0.0,,161.29
60720,地盤ネットホールディングス株式会社,9,2026-02-12,328.0,2026-02-13,648.0,1,0.0,,97.56
61660,株式会社中村超硬,1,2026-01-19,469.0,2026-01-20,789.0,1,0.0,,68.23
65800,株式会社ライトアップ,12,2025-05-29,1815.0,2025-06-17,2347.0,19,-5.29,2025-06-05,29.31
65800,株式会社ライトアップ,15,2025-06-10,1874.0,2025-06-17,2347.0,7,-1.55,2025-06-11,25.24
65800,株式会社ライトアップ,16,2025-06-13,1962.0,2025-06-17,2347.0,4,-2.45,2025-06-16,19.62
