code,entry_date,entry_price,outcome,outcome_date,outcome_pct,hold_days
33000,2024-11-22,2220.0,STOPPED,2025-01-23,-8.11,62
33000,2024-11-25,2197.0,STOPPED,2025-02-14,-14.88,81
33000,2024-11-26,2379.0,STOPPED,2024-12-23,-10.05,27
33000,2024-11-27,2340.0,STOPPED,2024-12-23,-8.55,26
33000,2024-11-29,2370.0,STOPPED,2024-12-23,-9.7,24
33000,2024-12-27,2365.0,STOPPED,2025-01-16,-10.36,20
33000,2025-08-05,2444.0,STOPPED,2025-11-17,-9.98,104
33000,2025-08-06,2473.0,STOPPED,2025-11-17,-11.04,103
33000,2025-08-08,2466.0,STOPPED,2025-11-17,-10.79,101
33000,2025-08-12,2505.0,STOPPED,2025-11-17,-12.18,97
33000,2025-08-13,2500.0,STOPPED,2025-11-17,-12.0,96
33000,2025-08-14,2917.0,STOPPED,2025-08-27,-8.12,13
35420,2023-06-15,655.0,STOPPED,2023-09-08,-8.24,85
35420,2023-06-19,666.0,STOPPED,2023-08-01,-8.86,43
35420,2023-07-28,669.0,STOPPED,2023-08-01,-9.27,4
35420,2023-08-14,745.0,STOPPED,2023-08-16,-8.86,2
35420,2024-02-16,802.0,STOPPED,2024-05-01,-8.48,75
35420,2024-02-19,915.0,STOPPED,2024-02-21,-13.44,2
35420,2024-02-27,957.0,STOPPED,2024-03-26,-10.24,28
35420,2024-02-28,960.0,STOPPED,2024-03-26,-10.52,27
35420,2024-03-04,960.0,STOPPED,2024-03-26,-10.52,22
35420,2024-03-07,1068.0,STOPPED,2024-03-11,-8.24,4
35420,2024-03-08,1080.0,STOPPED,2024-03-11,-9.26,3
35420,2025-04-14,1071.0,STOPPED,2025-05-16,-10.74,32
35420,2025-04-28,1119.0,STOPPED,2025-05-15,-8.4,17
35420,2025-04-30,1173.0,STOPPED,2025-05-12,-10.66,12
35420,2025-06-04,1336.0,TIMEOUT,,,
35420,2025-06-09,1345.0,TIMEOUT,,,
35420,2025-06-10,1388.0,TIMEOUT,,,
35420,2025-06-11,1404.0,STOPPED,2025-12-04,-8.55,176
35420,2025-06-12,1411.0,STOPPED,2025-12-04,-9.0,175
35420,2025-06-16,1435.0,STOPPED,2025-12-04,-10.52,171
35420,2025-06-18,1468.0,STOPPED,2025-12-04,-12.53,169
35420,2025-06-19,1539.0,STOPPED,2025-12-03,-10.98,167
35420,2025-06-20,1558.0,STOPPED,2025-12-03,-12.07,166
35420,2025-06-23,1557.0,STOPPED,2025-12-03,-12.01,163
35420,2025-06-24,1581.0,STOPPED,2025-12-03,-13.35,162
35420,2025-06-25,1615.0,STOPPED,2025-12-02,-8.17,160
35420,2025-06-26,1615.0,STOPPED,2025-12-02,-8.17,159
35420,2025-06-27,1759.0,STOPPED,2025-07-01,-11.2,4
35420,2025-06-30,1762.0,STOPPED,2025-07-01,-11.35,1
35420,2025-07-09,1878.0,STOPPED,2025-09-19,-8.68,72
35420,2025-07-10,1919.0,STOPPED,2025-07-11,-8.44,1
35420,2025-07-14,1896.0,STOPPED,2025-09-19,-9.55,67
35420,2025-07-15,1947.0,STOPPED,2025-09-19,-11.92,66
35420,2025-07-16,2065.0,STOPPED,2025-09-12,-8.57,58
35420,2025-07-17,2190.0,STOPPED,2025-07-23,-9.82,6
35420,2025-07-25,2263.0,STOPPED,2025-08-01,-11.44,7
35420,2025-07-28,2270.0,STOPPED,2025-08-01,-11.72,4
35420,2025-08-18,2300.0,STOPPED,2025-09-04,-9.78,17
35420,2025-08-19,2340.0,STOPPED,2025-09-03,-8.97,15
35420,2025-08-20,2279.0,STOPPED,2025-09-04,-8.95,15
35420,2025-08-22,2329.0,STOPPED,2025-09-03,-8.54,12
35420,2025-08-25,2330.0,STOPPED,2025-09-03,-8.58,9
35420,2025-08-27,2383.0,STOPPED,2025-09-02,-9.23,6
35560,2023-07-07,649.0,STOPPED,2023-07-12,-8.47,5
35560,2023-07-27,661.0,STOPPED,2023-08-14,-10.89,18
35560,2023-07-28,679.0,STOPPED,2023-08-14,-13.25,17
35560,2023-07-31,711.0,STOPPED,2023-08-14,-17.16,14
35560,2023-09-04,730.0,STOPPED,2023-09-19,-8.49,15
35560,2023-09-05,744.0,STOPPED,2023-09-19,-10.22,14
35560,2023-09-07,739.0,STOPPED,2023-09-19,-9.61,12
35560,2023-09-08,775.0,STOPPED,2023-09-14,-9.29,6
35560,2025-05-15,338.0,SUCCESS,2025-09-16,216.86,124
35560,2025-05-19,353.0,SUCCESS,2025-09-16,203.4,120
35560,2025-05-20,379.0,SUCCESS,2025-09-22,247.76,125
35560,2025-05-21,420.0,SUCCESS,2025-09-22,213.81,124
35560,2025-05-23,389.0,SUCCESS,2025-09-22,238.82,122
35560,2025-05-29,423.0,SUCCESS,2025-09-22,211.58,116
35560,2025-06-02,414.0,SUCCESS,2025-09-22,218.36,112
35560,2025-06-03,474.0,TIMEOUT,,,
35560,2025-06-04,498.0,TIMEOUT,,,
35560,2025-06-05,499.0,TIMEOUT,,,
35560,2025-06-06,529.0,TIMEOUT,,,
35560,2025-06-09,574.0,TIMEOUT,,,
35560,2025-06-16,599.0,TIMEOUT,,,
35560,2025-06-17,626.0,TIMEOUT,,,
35560,2025-06-18,635.0,TIMEOUT,,,
35560,2025-06-19,640.0,TIMEOUT,,,
35560,2025-08-12,663.0,TIMEOUT,,,
35560,2025-08-13,675.0,TIMEOUT,,,
35560,2025-08-15,758.0,TIMEOUT,,,
35560,2025-08-18,772.0,TIMEOUT,,,
35560,2025-08-20,835.0,STOPPED,2026-05-19,-10.42,272
35560,2025-08-21,865.0,STOPPED,2026-05-15,-9.83,267
35560,2025-08-22,903.0,STOPPED,2026-05-15,-13.62,266
35560,2025-08-25,924.0,STOPPED,2025-09-04,-8.33,10
35560,2025-08-28,919.0,STOPPED,2026-05-15,-15.13,260
35560,2025-08-29,925.0,STOPPED,2025-09-04,-8.43,6
35560,2025-09-11,938.0,STOPPED,2025-10-02,-8.1,21
35560,2025-09-12,955.0,STOPPED,2025-10-01,-9.01,19
35560,2025-09-16,1057.0,STOPPED,2025-09-30,-15.7,14
35560,2025-09-17,1086.0,STOPPED,2025-09-30,-17.96,13
35560,2025-09-19,1088.0,STOPPED,2025-09-30,-18.11,11
35560,2025-09-22,1294.0,STOPPED,2025-09-25,-16.15,3
36920,2023-06-14,1392.0,STOPPED,2023-08-03,-9.84,50
36920,2023-06-15,1495.0,STOPPED,2023-07-06,-10.17,21
36920,2023-06-16,1600.0,STOPPED,2023-06-27,-9.5,11
36920,2023-06-19,1680.0,STOPPED,2023-06-20,-8.39,1
36920,2024-02-14,1739.0,TIMEOUT,,,
36920,2024-02-15,1730.0,TIMEOUT,,,
36920,2024-02-16,1855.0,STOPPED,2024-05-27,-8.14,101
36920,2024-02-19,1885.0,STOPPED,2024-05-24,-8.75,95
36920,2024-02-27,1981.0,STOPPED,2024-05-15,-9.09,78
36920,2024-02-28,2100.0,STOPPED,2024-03-14,-9.29,15
36920,2024-03-04,2150.0,STOPPED,2024-03-11,-8.56,7
36920,2024-03-06,2211.0,STOPPED,2024-03-11,-11.08,5
36920,2024-03-07,2135.0,STOPPED,2024-03-14,-10.77,7
36920,2024-04-11,2426.0,STOPPED,2024-04-16,-8.45,5
36920,2024-07-19,2593.0,STOPPED,2024-07-22,-15.39,3
36920,2024-07-22,2354.0,STOPPED,2024-07-31,-13.85,9
36920,2024-09-27,2899.0,STOPPED,2024-09-30,-17.25,3
36920,2025-03-04,3050.0,STOPPED,2025-03-10,-9.9,6
36920,2025-03-05,3080.0,STOPPED,2025-03-10,-10.78,5
36920,2025-03-18,3400.0,STOPPED,2025-04-02,-14.03,15
36920,2025-03-19,3620.0,STOPPED,2025-04-01,-12.43,13
36920,2025-03-24,3750.0,STOPPED,2025-03-31,-9.33,7
36920,2025-05-15,4305.0,SUCCESS,2025-10-20,208.71,158
36920,2025-05-16,5010.0,STOPPED,2025-05-23,-13.77,7
36920,2025-05-19,4880.0,STOPPED,2025-05-23,-11.48,4
36920,2025-05-20,5010.0,STOPPED,2025-05-23,-13.77,3
36920,2025-06-05,5380.0,STOPPED,2026-06-04,-8.74,364
36920,2025-06-09,5480.0,STOPPED,2026-06-03,-8.03,359
36920,2025-06-17,5950.0,STOPPED,2025-06-23,-8.24,6
36920,2025-06-18,5750.0,STOPPED,2025-07-07,-8.35,19
36920,2025-06-24,6310.0,STOPPED,2025-07-02,-10.94,8
36920,2025-06-25,6350.0,STOPPED,2025-07-02,-11.5,7
36920,2025-06-26,6150.0,STOPPED,2025-07-02,-8.62,6
36920,2025-07-28,6250.0,STOPPED,2026-04-13,-11.52,259
36920,2025-08-14,6900.0,STOPPED,2026-03-30,-12.75,228
36920,2025-08-15,7180.0,STOPPED,2025-08-21,-8.64,6
36920,2025-09-19,7980.0,STOPPED,2025-10-03,-8.52,14
36920,2025-09-22,8570.0,STOPPED,2025-09-25,-10.39,3
36920,2025-10-06,9170.0,STOPPED,2025-11-19,-10.03,44
36920,2025-10-07,9210.0,STOPPED,2025-11-19,-10.42,43
36920,2025-10-09,10590.0,STOPPED,2025-10-14,-12.84,5
36920,2025-10-10,10040.0,STOPPED,2025-10-14,-8.07,4
36920,2025-10-16,11700.0,STOPPED,2025-10-17,-10.94,1
36920,2025-10-20,13070.0,STOPPED,2025-10-21,-15.68,1
36920,2025-10-21,11830.0,STOPPED,2025-10-22,-10.14,1
39050,2023-06-02,314.0,STOPPED,2023-06-07,-8.28,5
39050,2023-06-20,407.0,STOPPED,2023-06-26,-11.3,6
39050,2023-06-21,402.0,STOPPED,2023-06-26,-10.2,5
39050,2024-01-12,485.0,SUCCESS,2024-04-11,258.76,90
39050,2024-01-15,565.0,STOPPED,2024-01-25,-9.2,10
39050,2024-01-16,665.0,STOPPED,2024-01-17,-15.04,1
39050,2024-01-17,625.0,STOPPED,2024-01-18,-11.2,1
39050,2024-01-19,629.0,STOPPED,2024-01-22,-10.02,3
39050,2024-02-19,771.0,STOPPED,2024-02-21,-13.88,2
39050,2024-02-20,769.0,STOPPED,2024-02-21,-13.65,1
39050,2024-02-27,846.0,STOPPED,2024-02-29,-10.05,2
39050,2024-02-28,838.0,STOPPED,2024-02-29,-9.19,1
39050,2024-03-04,985.0,STOPPED,2024-03-06,-15.23,2
39050,2024-03-05,1135.0,STOPPED,2024-03-06,-26.43,1
39050,2024-03-06,888.0,STOPPED,2024-03-08,-13.29,2
39050,2024-04-10,1440.0,STOPPED,2024-08-05,-20.35,117
39050,2024-04-11,1740.0,STOPPED,2024-04-23,-13.39,12
39050,2024-04-12,2140.0,STOPPED,2024-04-18,-9.35,6
